precio_noche,estrellas,puntuacion,noches,features,scaledFeatures,prediction
65538.0,0.0,8.7,1.0,"[65538.0,0.0,8.7,1.0]","[0.3572379065658944,0.0,3.285178492014089,4.678687769727618]",0
107640.0,5.0,7.8,1.0,"[107640.0,5.0,7.8,1.0]","[0.5867296570348939,2.672060590394606,2.94533244111608,4.678687769727618]",1
227448.0,0.0,9.4,1.0,"[227448.0,0.0,9.4,1.0]","[1.239785275299819,0.0,3.5495031982680967,4.678687769727618]",0
125364.0,0.0,9.7,1.0,"[125364.0,0.0,9.7,1.0]","[0.6833405492802158,0.0,3.6627852152340994,4.678687769727618]",0
84533.0,0.0,9.6,1.0,"[84533.0,0.0,9.6,1.0]","[0.4607768310863125,0.0,3.625024542912098,4.678687769727618]",0
168550.0,0.0,9.2,1.0,"[168550.0,0.0,9.2,1.0]","[0.9187410227910754,0.0,3.4739818536240943,4.678687769727618]",0
107259.0,4.0,8.6,1.0,"[107259.0,4.0,8.6,1.0]","[0.5846528826078193,2.1376484723156848,3.247417819692088,4.678687769727618]",1
680545.0,0.0,9.2,1.0,"[680545.0,0.0,9.2,1.0]","[3.709549744024636,0.0,3.4739818536240943,4.678687769727618]",0
129792.0,0.0,7.9,1.0,"[129792.0,0.0,7.9,1.0]","[0.7074769197870024,0.0,2.9830931134380814,4.678687769727618]",0
399000.0,0.0,8.2,1.0,"[399000.0,0.0,8.2,1.0]","[2.174889754337817,0.0,3.096375130404084,4.678687769727618]",0
227400.0,0.0,9.3,1.0,"[227400.0,0.0,9.3,1.0]","[1.2395236344271168,0.0,3.511742525946096,4.678687769727618]",0
200000.0,0.0,9.3,1.0,"[200000.0,0.0,9.3,1.0]","[1.0901703029262242,0.0,3.511742525946096,4.678687769727618]",0
171254.0,0.0,8.5,1.0,"[171254.0,0.0,8.5,1.0]","[0.9334801252866379,0.0,3.2096571473700872,4.678687769727618]",0
67132.0,3.0,9.0,1.0,"[67132.0,3.0,9.0,1.0]","[0.3659265638802164,1.6032363542367636,3.3984605089800923,4.678687769727618]",1
109520.0,3.0,8.8,1.0,"[109520.0,3.0,8.8,1.0]","[0.5969772578824003,1.6032363542367636,3.322939164336091,4.678687769727618]",1
288336.0,0.0,7.6,1.0,"[288336.0,0.0,7.6,1.0]","[1.5716767223226789,0.0,2.8698110964720778,4.678687769727618]",0
313665.0,5.0,8.3,1.0,"[313665.0,5.0,8.3,1.0]","[1.7097413403367705,2.672060590394606,3.1341358027260853,4.678687769727618]",1
67600.0,0.0,8.7,1.0,"[67600.0,0.0,8.7,1.0]","[0.36847756238906376,0.0,3.285178492014089,4.678687769727618]",0
108737.0,0.0,9.4,1.0,"[108737.0,0.0,9.4,1.0]","[0.5927092411464442,0.0,3.5495031982680967,4.678687769727618]",0
67125.0,0.0,6.8,1.0,"[67125.0,0.0,6.8,1.0]","[0.36588840791961397,0.0,2.5677257178960695,4.678687769727618]",0
239034.0,4.0,8.5,1.0,"[239034.0,4.0,8.5,1.0]","[1.3029388409483353,2.1376484723156848,3.2096571473700872,4.678687769727618]",1
154128.0,0.0,8.1,1.0,"[154128.0,0.0,8.1,1.0]","[0.8401288422470654,0.0,3.058614458082083,4.678687769727618]",0
49573.0,0.0,8.4,1.0,"[49573.0,0.0,8.4,1.0]","[0.27021506213480856,0.0,3.1718964750480865,4.678687769727618]",0
81120.0,0.0,9.4,1.0,"[81120.0,0.0,9.4,1.0]","[0.4421730748668765,0.0,3.5495031982680967,4.678687769727618]",0
165750.0,4.0,8.9,1.0,"[165750.0,4.0,8.9,1.0]","[0.9034786385501082,2.1376484723156848,3.3606998366580916,4.678687769727618]",1
159536.0,0.0,6.8,1.0,"[159536.0,0.0,6.8,1.0]","[0.8696070472381905,0.0,2.5677257178960695,4.678687769727618]",0
50350.0,0.0,9.3,1.0,"[50350.0,0.0,9.3,1.0]","[0.2744503737616769,0.0,3.511742525946096,4.678687769727618]",0
286545.0,0.0,9.8,1.0,"[286545.0,0.0,9.8,1.0]","[1.5619142472599745,0.0,3.700545887556101,4.678687769727618]",0
333646.0,0.0,8.3,1.0,"[333646.0,0.0,8.3,1.0]","[1.818654804450615,0.0,3.1341358027260853,4.678687769727618]",0
143273.0,0.0,9.4,1.0,"[143273.0,0.0,9.4,1.0]","[0.7809598490557446,0.0,3.5495031982680967,4.678687769727618]",0
125364.0,0.0,9.4,1.0,"[125364.0,0.0,9.4,1.0]","[0.6833405492802158,0.0,3.5495031982680967,4.678687769727618]",0
74520.0,3.0,8.1,1.0,"[74520.0,3.0,8.1,1.0]","[0.4061974548703111,1.6032363542367636,3.058614458082083,4.678687769727618]",1
186000.0,0.0,7.9,1.0,"[186000.0,0.0,7.9,1.0]","[1.0138583817213884,0.0,2.9830931134380814,4.678687769727618]",0
81120.0,0.0,8.9,1.0,"[81120.0,0.0,8.9,1.0]","[0.4421730748668765,0.0,3.3606998366580916,4.678687769727618]",0
161058.0,0.0,9.8,1.0,"[161058.0,0.0,9.8,1.0]","[0.877903243243459,0.0,3.700545887556101,4.678687769727618]",0
340074.0,0.0,8.7,1.0,"[340074.0,0.0,8.7,1.0]","[1.8536928779866637,0.0,3.285178492014089,4.678687769727618]",0
447727.0,0.0,8.7,1.0,"[447727.0,0.0,8.7,1.0]","[2.440493396091248,0.0,3.285178492014089,4.678687769727618]",0
104000.0,0.0,8.0,1.0,"[104000.0,0.0,8.0,1.0]","[0.5668885575216366,0.0,3.020853785760082,4.678687769727618]",0
198102.0,4.0,8.5,1.0,"[198102.0,4.0,8.5,1.0]","[1.0798245867514542,2.1376484723156848,3.2096571473700872,4.678687769727618]",1
76500.0,0.0,9.2,1.0,"[76500.0,0.0,9.2,1.0]","[0.4169901408692807,0.0,3.4739818536240943,4.678687769727618]",0
2106107.0,0.0,5.1,1.0,"[2106107.0,0.0,5.1,1.0]","[11.480076530925206,0.0,1.9257942884220522,4.678687769727618]",1
214200.0,0.0,8.1,1.0,"[214200.0,0.0,8.1,1.0]","[1.167572394433986,0.0,3.058614458082083,4.678687769727618]",0
149150.0,3.0,7.8,1.0,"[149150.0,3.0,7.8,1.0]","[0.8129945034072317,1.6032363542367636,2.94533244111608,4.678687769727618]",1
409500.0,0.0,9.4,1.0,"[409500.0,0.0,9.4,1.0]","[2.232123695241444,0.0,3.5495031982680967,4.678687769727618]",0
102942.0,0.0,8.3,1.0,"[102942.0,0.0,8.3,1.0]","[0.5611215566191569,0.0,3.1341358027260853,4.678687769727618]",0
111036.0,0.0,8.6,1.0,"[111036.0,0.0,8.6,1.0]","[0.6052407487785811,0.0,3.247417819692088,4.678687769727618]",0
1567044.0,5.0,8.7,1.0,"[1567044.0,5.0,8.7,1.0]","[8.54172416089361,2.672060590394606,3.285178492014089,4.678687769727618]",1
